Naam fonds,Categorie,Regio / provincie,Statutaire doelstelling (samenvatting),Doelgroep,Relevant voor welk type landgoedplan,Orde grootte bedrag,Aanvraagprocedure / deadlines,Vereiste documenten voor aanvraag,Contact,Bron (URL),Status / opmerking
Russell-ter Brugge Fonds (Ars Donandi),Landelijk vermogensfonds / fonds op naam,Landelijk Nederland,"Steunt instellingen van algemeen maatschappelijk belang op drie terreinen: hulp aan gehandicapte kinderen, ondersteuning van blinden en doven, en NATUURBESCHERMING. Fonds op naam onder Ars Donandi, opgericht bij testament van mevrouw B.G.A. Russell-ter Brugge (overleden 1981).","Uitsluitend instellingen met ANBI-verklaring, gevestigd in Nederland. Particulieren en B.V.'s dus uitgesloten. Ars Donandi financiert daarnaast geen politieke partijen en geen religieuze instellingen.","Biodiversiteits- en landschapsherstel: bewezen precedent is een schenking van EUR 10.000 aan de Vereniging Nederlands Cultuurlandschap voor herstel van het leefgebied van de zeldzame grijze zandbij, vervangende bijenkasten, opruimen van stormschade en herstel van beheercycli. Monumenten en natuurinclusieve landbouw passen minder goed.","Fondsspecifiek budget niet gepubliceerd. Ars Donandi-breed (bron: FindNFund, niet primair geverifieerd): EUR 1.000 - 15.000 per project, eenmalige donaties. Uitgesloten: projecten groter dan 10x het maximale bijdragebedrag, en verbouwingen boven EUR 200.000.","Open voor aanvragen (geen invitation-only). Aanvraag loopt via het centrale loket van Ars Donandi, niet rechtstreeks bij het fonds op naam; Ars Donandi wijst de aanvraag toe aan het passende fonds. Geen vaste deadline, doorlopend indienen; doorlooptijd tot circa 120 dagen. Zes maanden na betaling wordt verantwoording gevraagd. AANBEVELING: bevestig de actuele procedure telefonisch voor indiening.","Niet primair geverifieerd (aanvraagpagina Ars Donandi was niet automatisch op te halen). Reken op de standaardset: projectplan, begroting met dekkingsplan, jaarrekening, statuten, KvK-uittreksel en ANBI-bewijs. Vraag de exacte lijst op bij het bureau.","Ars Donandi: info@arsdonandi.nl, +31 20 527 6416, Herengracht 537 Amsterdam. Contactpersoon voor dit specifieke fonds niet gepubliceerd.",https://arsdonandi.nl/fonds/russell-ter-brugge-fonds/ ; precedent: https://www.nederlandscultuurlandschap.nl/vnc-ontvangt-schenking-van-het-russell-ter-brugge-fonds-van-ars-donandi/,"NIEUW en kansrijk. Natuurbescherming staat letterlijk in de doelstelling en er is een recent, concreet precedent van EUR 10.000 voor precies het soort biodiversiteitswerk dat op landgoederen speelt. LET OP: arsdonandi.nl blokkeerde geautomatiseerd ophalen, dus doelstelling is bevestigd via twee onafhankelijke begunstigden, maar bedragen/doorlooptijd/documenten zijn NIET primair geverifieerd. Harde randvoorwaarde: aanvrager moet Nederlandse ANBI zijn."
KIEM - natuuraanvraagloket provincie Utrecht,Regionale samenwerkingsregeling (3 fondsen),Uitsluitend provincie Utrecht,"Gezamenlijk natuurloket van drie fondsen die al apart in deze lijst staan: K.F. Hein Fonds, Elise Mathilde Fonds en Cultuurfonds Utrecht. Een aanvraag, een beoordeling, drie fondsen. Ondersteunt vrijwilligersinitiatieven die de provincie Utrecht groener en de natuur gevarieerder maken: bloemrijke bermen, insectenhotels, bijenstallen, plukbossen, nestkasten, poelen, wandel- en fietspaden, natuureducatie.","Alleen stichtingen en verenigingen. Particulieren en informele groepen kunnen alleen meedoen via een bestaande organisatie als penvoerder. Een landgoed-B.V. of particuliere eigenaar kan NIET zelf aanvragen. ANBI niet expliciet geeist, wel rechtspersoon met statuten en KvK.","Kleinschalige, publiek toegankelijke biodiversiteits- en beleefbaarheidsprojecten op een Utrechts landgoed die door vrijwilligers worden uitgevoerd. NIET voor restauratie van monumenten, niet voor natuurinclusieve landbouw als bedrijfsinvestering, en begeleiding door derden mag max. 30% van de kosten zijn.",EUR 1.000 - 5.000 per project (max. EUR 5.000). TOTALE projectkosten mogen niet boven EUR 20.000 liggen. Financiering tot 100% mogelijk; cofinanciering gewaardeerd maar niet verplicht. Crowdfundingvariant via crowdfundingvoornatuur.nl: max. 25% met plafond EUR 1.000.,"Open en doorlopend, geen deadlines. Besluitvorming elke twee maanden, uiterlijk binnen 2 maanden na indiening. Indienen via portaal.kfhein.nl. Voorwaarden: project nog niet gestart, uitvoering binnen 24 maanden, vrijwilligers betrokken, locatie openbaar toegankelijk. UITBETALING ACHTERAF op basis van werkelijke kosten.","Projectplan, begroting/dekkingsplan, statuten, recent KvK-uittreksel, jaarrekening/financiele stukken.","030 - 258 9094 (di t/m do, ochtend); utrecht@cultuurfonds.nl; portaal.kfhein.nl. K.F. Hein algemeen: hein@kfhein.nl, 030 - 232 21 14.",https://kiemutrecht.nl/ ; https://www.cultuurfonds.nl/kiem-regeling ; https://kfhein.nl/wat-doen-wij/initiatieven,"NIEUW. NAAMCORRECTIE: aangeleverd als 'Natuurfonds Utrecht (Regeling KIEM / Groen)' — een entiteit met de naam 'Natuurfonds Utrecht' bestaat niet; bedoeld is de natuurregeling KIEM. BELANGRIJK: dit is 100% PRIVAAT geld (drie private vermogensfondsen), geen provinciale subsidie — de provincie Utrecht is nergens financier. De naamsverwarring komt waarschijnlijk doordat 'Cultuurfonds Utrecht' de provinciale afdeling van het Cultuurfonds is, niet de provincie. Beperkte relevantie door het plafond van EUR 5.000 en het maximum van EUR 20.000 totale projectkosten."
Fred Foundation,Landelijk vermogensfonds (familiefonds),Landelijk Nederland en internationaal (kantoor Driebergen-Rijsenburg),"Bevorderen van behoud en herstel van de natuurlijke leefomgeving en van de zelfredzaamheid van de mens. Drie thema's: natuur en klimaat, medemenselijkheid, en publiek belang (onderzoeksjournalistiek, persvrijheid). Opgericht door Fred Matser; dochters Nina en Lyke Matser in het bestuur. De ForestPeace Foundation (elders in deze lijst) is hier een onderdeel van.",Uitsluitend organisaties met ANBI-status. Het fonds benadert echter ZELF organisaties en nodigt ze uit een aanvraag in te dienen — er is geen open doelgroep.,"Thematisch sterk passend: natuurherstel, rewilding, regeneratieve en natuurinclusieve landbouw, ecosysteemherstel. Steunt o.a. Land van Ons. Monumenten en groen erfgoed zijn GEEN thema.",In 2024 in totaal EUR 4.565.904 gedoneerd aan circa 100 organisaties; bandbreedte per donatie van onder EUR 15.000 tot circa EUR 150.000-194.000. Geen gepubliceerd minimum of maximum.,"GEEN OPEN LOKET - invitation only. Letterlijk op de eigen site: het fonds kiest zelf de initiatieven en je kunt er geen aanvraag indienen. Hetzelfde geldt voor de gelieerde stichtingen ForestPeace, Flowfund en Essentia Foundation. Geen deadlines.",N.v.t. - geen aanvraagprocedure. Enige bekende harde eis: ANBI-status van de ontvangende organisatie.,"info@fredfoundation.org, 06 23 78 51 84, Langbroekerdijk 8A, 3972 ND Driebergen-Rijsenburg. Contactpersoon: Martine d'Hooghe.",https://fredfoundation.org/ ; https://fredfoundation.org/donaties/ ; https://fredfoundation.org/anbi/,"NIEUW maar NIET AANVRAAGBAAR. Thematisch een uitstekende match, procedureel gesloten — opgenomen als watchlist/netwerkregel, net als Adessium, DOB Ecology en Porticus. Enige route is zichtbaarheid opbouwen in het netwerk (ecosysteemherstel, Land van Ons) zodat het fonds jou benadert. Niet aanschrijven."
Stichting Pharus,Landelijk vermogensfonds (familiefonds),Geen geografische beperking gepubliceerd; kantoor Amersfoort. Feitelijk portfolio sterk internationaal (circa 80 projecten in 26 landen).,"Breed vermogensfonds (AFAS-familie Mars) dat projecten initieert en ondersteunt op welzijn, cultuur, onderwijs, wetenschap, BESCHERMING VAN MILIEU EN NATUUR, gezondheidszorg, jeugd- en ouderenzorg, dierenwelzijn en democratische rechtsorde, vanuit christelijke waarden.","Uitsluitend organisaties met ANBI-status die minimaal 2 jaar bestaan. Expliciet uitgesloten: particulieren, organisaties zonder ANBI, commerciele belangen (dus geen landgoed-B.V.), startups, en grote/kapitaalkrachtige fondsen.",Alleen denkbaar als het landgoedplan wordt gedragen door een eigen ANBI-stichting met natuur-/milieudoelstelling en een duidelijk maatschappelijk karakter met lange-termijndoelen. Niet voor restauratie/monumenten als zodanig.,Geen minimum/maximum gepubliceerd. Giften tot EUR 5.000 worden versneld door het bestuur afgedaan; vanaf EUR 5.000 volgt formele behandeling in een bestuursvergadering. Projectgiften lopen maximaal 5 jaar.,"Open voor externe aanvragen, doorlopend. Uitsluitend digitaal via het formulier op de website; per e-mail of post wordt niet in behandeling genomen. Vooroverleg voor indiening is NIET mogelijk. Bestuur vergadert eens per kwartaal. Elk gehonoreerd project krijgt twee bestuursleden als toezichthouder.","Uitgewerkt projectplan met lange-termijndoelstelling, gedetailleerde projectbegroting, meest recente jaarrekening/jaarverslag, beschrijving van de organisatie, aantoonbare ANBI-status.","info@stichtingpharus.nl, Utrechtseweg 174, 3818 ES Amersfoort (telefoon niet gepubliceerd)",https://www.stichtingpharus.nl/ ; https://www.stichtingpharus.nl/portal-pharus/beleid,"NIEUW, oordeel MISSCHIEN. 'Bescherming van milieu en natuur' staat letterlijk in de doelstelling, maar het feitelijke portfolio oogt overwegend internationaal en christelijk-diaconaal; Nederlandse natuurprojecten zijn niet aantoonbaar. LET OP twee harde afknappers: alleen ANBI's mogen aanvragen, EN projecten waarbij cofinanciering vereist is worden expliciet uitgesloten — dat botst frontaal met de gangbare landgoedpraktijk van gestapelde financiering."
De Bijll Nachenius Fonds (Cultuurfonds),Regionaal fonds op naam,Voorkeur voor Amsterdam en omstreken,Fonds op naam bij het Cultuurfonds met een doelstelling die letterlijk NATUURBEHOUD EN MONUMENTENZORG combineert — precies de dubbele insteek die voor landgoederen relevant is.,Loopt via het reguliere Cultuurfonds-loket: stichtingen en verenigingen met cultuur of natuur in de statuten.,"Combinatieprojecten natuur + monument op een landgoed in de regio Amsterdam: groen erfgoed, historische tuinaanleg gecombineerd met biodiversiteit, restauratie in een natuurlijke context.",Niet gepubliceerd; volgt de staffels van het Cultuurfonds-loket.,"Via aanvragen.cultuurfonds.nl, het gedeelde portaal voor alle Cultuurfonds-fondsen op naam.","Basis via het Cultuurfonds-portaal: projectplan, begroting, KvK-uittreksel; de volledige bijlagenlijst wordt dynamisch in het formulier zelf getoond.",Via het Cultuurfonds: +31 20 520 6130,https://www.cultuurfonds.nl/fondsen/de-bijll-nachenius-fonds,"NIEUW - gevonden bij het natrekken van 'Marc de Bijl Stichting', die zelf niet blijkt te bestaan. Dit fonds is qua naam en thema de meest waarschijnlijke bedoelde entiteit, maar dat is een AANNAME: bevestig even of dit is wat je bedoelde. Inhoudelijk hoe dan ook een goede aanvulling, want de combinatie natuurbehoud + monumentenzorg in een enkele doelstelling is zeldzaam."
Stichting OPNB - Ondersteuning Particulier Natuurbeheer,Landelijk vermogensfonds,Landelijk,"Financiele ondersteuning aan PARTICULIERE GRONDEIGENAREN bij het ontwikkelen en inrichten van nieuwe natuur en het herstel van bestaande natuur. Thema's: biodiversiteit, bedreigde soorten, waterkwaliteit, klimaatbestendigheid. Financiert o.a. rewilding, peilaanpassing, bodemverbetering, bos, wetlands, poelen, ecologische verbindingen, historische tuinen, voedselbossen en hoogstamboomgaarden van inheemse rassen.",Particuliere grondeigenaren — expliciet NIET alleen terreinbeherende organisaties,Vrijwel elk natuurinrichtings- of herstelplan op een landgoed,Niet gepubliceerd,Open voor projecten die vanaf 2026 starten. Opgericht oktober 2024.,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Zie opnb.org,https://opnb.org/ ; aankondiging FPG: https://www.grondbezit.nl/en/nieuws-detail/2026/04/20/nieuw-financiele-ondersteuning-particulier-natuurbeheer-stichting-opnb,NIEUW EN DE BELANGRIJKSTE VONDST VAN DEZE RONDE. Gevuld uit de schikking die Natuurmonumenten en de 12 Provinciale Landschappen betaalden wegens aankoopsubsidies die 1993-2011 uitsluitend aan TBO's werden verstrekt — dit is dus letterlijk geld dat bestemd is als compensatie voor PARTICULIERE grondeigenaren. Staat in geen enkele reguliere fondsenlijst. Prioriteit 1 om te benaderen.
Baron en Barones Van Hemert tot Dingshof-Coldeweij Fonds (SBNL),Landelijk sub-fonds (SBNL),"Overijssel, Achterhoek en Liemers (Gelderland)","Biodiversiteit, landschap en natuurbeheer op particuliere en agrarische grond: aanleg, herstel en herinrichting van kleine landschapselementen, beheer van natuurterreinen, natuureducatie. Overheden en terreinbeherende organisaties zijn uitgesloten.",Particuliere en agrarische grondeigenaren; nieuwe aanvragers krijgen voorrang,"Houtwallen, poelen, hakhout, lanen, singels op een landgoed in het werkgebied",Fondsvermogen meer dan EUR 1 mln; bedrag per project niet gepubliceerd,AANVRAAGPERIODE 1 JULI T/M 1 SEPTEMBER 2026 — sluit binnenkort.,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Via SBNL Natuurfonds,https://www.sbnlnatuurfonds.nl/baron-en-barones-van-hemert-tot-dingshof-coldeweij-fonds,NIEUW en zeer gericht op particulier grondbezit. LET OP DE DEADLINE: 1 september 2026.
SBNL Fonds Groene Landschapselementen,Landelijk sub-fonds (SBNL),"Utrecht, Gelderland, Overijssel",Aanleg en herstel van groene landschapselementen door particuliere en agrarische natuurbeheerders.,Particuliere en agrarische natuurbeheerders,"Houtwallen, hoogstamboomgaard, poelen, singels",EUR 3.000 - 20.000 per project,DEADLINE 1 SEPTEMBER 2026,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Via SBNL Natuurfonds,https://www.sbnlnatuurfonds.nl/aanvraagpagina-landschaps-en-natuurbeheer,NIEUW. Apart loket binnen SBNL dat we nog niet hadden. Deadline 1 september 2026.
SBNL Fonds Wetenschappelijk Onderzoek,Landelijk sub-fonds (SBNL),Landelijk,Wetenschappelijk onderzoek ten behoeve van de natuur in Nederland.,Onderzoekers/organisaties,Monitoring of nulmeting bij een landgoedproject,EUR 3.000 - 20.000,DEADLINE 1 OKTOBER 2026,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Via SBNL Natuurfonds,https://www.sbnlnatuurfonds.nl/fondsen-overzicht,NIEUW. Bruikbaar om de onderbouwing van een beheerplan te financieren.
Stichting Vrienden Particuliere Historische Buitenplaatsen (PHB),Landelijk vermogensfonds,Landelijk,Stelt financiele middelen beschikbaar voor KLEINE RESTAURATIES op particuliere historische buitenplaatsen.,Eigenaren van particuliere historische buitenplaatsen,"Kleine deelrestauraties: tuinornamenten, hekwerk, tuinmuur, tuinvaas, brug",Klein,Procedure niet online gepubliceerd — via secretaris@vriendenphb.nl,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,secretaris@vriendenphb.nl,https://www.zelfdoeninzh.nl/groen-erfgoed/thematische-onderwerpen/landgoederen-buitenplaatsen/,"NIEUW en opvallend gericht: expliciet voor PARTICULIERE historische buitenplaatsen, precies de doelgroep. Geen open website-procedure, dus rechtstreeks mailen."
Overijsselse Kastelenstichting (OKS),Regionaal vermogensfonds,Overijssel (662 landgoederen),Kleinschalige projecten voor het behoud van monumentale gebouwen EN de bijbehorende landgoederen.,"Eigenaren van kastelen, havezaten en landgoederen in Overijssel","Alle landgoedplannen, kleinschalig",Rendement van een klein vermogen — bedragen niet gepubliceerd,"DEADLINES 1 FEBRUARI en 1 SEPTEMBER, via Het Oversticht",Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Via Het Oversticht,https://overijsselsekastelenstichting.nl/organisatie,NIEUW. Zeer gerichte niche voor Overijsselse landgoederen; loopt via Het Oversticht dat ook adviseert bij de aanvraag.
Interieurfonds voor kasteeleigenaren (St. Limburgse Kastelen + Monumentenwacht Limburg),Regionaal/thematisch fonds,Limburg,"Financiert ONDERZOEK naar de kwaliteit en staat van waardevolle kasteelinterieurs, als voorbereiding op restauratieplannen.",Kasteel- en landhuiseigenaren in Limburg,Planvorming vooraf: interieuronderzoek als basis voor een restauratieaanvraag elders,Fondsomvang EUR 50.000; maximaal EUR 5.000 per eigenaar,Melden voor 1 juli,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Via Stichting Limburgse Kastelen,https://www.limburgsekastelen.nl/,"NIEUW en strategisch interessant: dit financiert de PLANVOORBEREIDING, wat bij vrijwel alle andere fondsen juist een vereiste bijlage is. Goede eerste stap in een financieringsketen."
Mulder Premie Fonds (Het Groninger Landschap),Regionaal fonds op naam,"Gorecht (Haren, Hoogezand, Zuidlaren e.o., Groningen)",Herstel en behoud van cultuurhistorische waarden en landschapselementen in het Gorecht. Premie-constructie waarbij derden herstelwerk kunnen laten financieren.,Onduidelijk — voorwaarden niet gepubliceerd,Landschapselementen en cultuurhistorie in het Gorecht,Niet gepubliceerd,Voorwaarden staan NIET online — rechtstreeks navragen bij Het Groninger Landschap,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Het Groninger Landschap,https://www.groningerlandschap.nl/custom/uploads/2025/06/jaarverslag-2024-web.pdf,NIEUW. Het enige naamfonds bij een Landschap dat een premieregeling voor DERDEN lijkt te hebben in plaats van alleen een donatie-instrument te zijn. Navragen loont.
Pfältzer-Birnie Fonds (Cultuurfonds),Landelijk themafonds (Cultuurfonds),Landelijk,Ondersteunt projecten op het gebied van natuurbehoud EN monumentenzorg.,Stichtingen/verenigingen via het Cultuurfonds-loket,Combinatieprojecten natuur + monument — de dubbele insteek die landgoederen kenmerkt,Niet gepubliceerd,Via aanvragen.cultuurfonds.nl,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Cultuurfonds +31 20 520 6130,https://www.cultuurfonds.nl/fondsen/pfaltzer-birnie-fonds,NIEUW. Een van de weinige fondsen met natuur EN monumenten expliciet in een enkele doelstelling.
Zanen-Bakker Fonds (Cultuurfonds),Landelijk themafonds (Cultuurfonds),Landelijk,Projecten op het gebied van cultuur en natuurbehoud in Nederland.,Via Cultuurfonds-loket,"Breed natuurbehoud, ook op landgoed",Niet gepubliceerd,Via aanvragen.cultuurfonds.nl,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Cultuurfonds,https://www.cultuurfonds.nl/fondsen/zanen-bakker-fonds,NIEUW (Cultuurfonds fonds op naam).
Par Terra Fonds (Cultuurfonds),Landelijk themafonds (Cultuurfonds),Landelijk,Ondersteunt cultuur en natuurbehoud in Nederland.,Via Cultuurfonds-loket,Breed natuurbehoud,Niet gepubliceerd,Via aanvragen.cultuurfonds.nl,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Cultuurfonds,https://www.cultuurfonds.nl/fondsen/par-terra-fonds,NIEUW (Cultuurfonds fonds op naam).
Van Lange Fonds (Cultuurfonds),Landelijk themafonds (Cultuurfonds),Landelijk,Projecten op het gebied van cultuur en natuurbehoud in Nederland.,Via Cultuurfonds-loket,Breed natuurbehoud,Niet gepubliceerd,Via aanvragen.cultuurfonds.nl,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Cultuurfonds,https://www.cultuurfonds.nl/fondsen/van-lange-fonds,NIEUW (Cultuurfonds fonds op naam).
A. en M. Verhoeven Fonds (Cultuurfonds),Regionaal fonds op naam,"Hoeksche Waard + Veluwe (tot Arnhem, Rhenen, Wageningen)","Cultureel erfgoed, cultuureducatie en natuur in en rond de Hoeksche Waard; daarnaast natuur op de Veluwe tot aan Arnhem, Rhenen en Wageningen.",Via Cultuurfonds-loket,Alleen bij een landgoed in die twee regio's — dan wel een goede match (erfgoed en natuur samen),Niet gepubliceerd,Via aanvragen.cultuurfonds.nl,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Cultuurfonds,https://www.cultuurfonds.nl/fondsen/a-en-m-verhoeven-fonds,NIEUW. Scherp afgebakend werkgebied; check de ligging van het landgoed eerst.
Popp-Snijders Bomenfonds (Cultuurfonds),Regionaal fonds op naam,Bij voorkeur Leiden en Zuid-Holland,Stimuleert het onderhoud en de instandhouding van monumentale of beeldbepalende bomen.,Via Cultuurfonds-loket,"Boomverzorging, monumentale bomen, laanherstel",Niet gepubliceerd,Via aanvragen.cultuurfonds.nl,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Cultuurfonds,https://www.cultuurfonds.nl/fondsen/popp-snijders-bomenfonds,NIEUW. Specifiek voor bomen — relevant bij laanherstel en monumentale bomen op het landgoed.
Natuurlijk Limburg Fonds (Cultuurfonds),Regionaal fonds op naam,Limburg,Grondaankopen in Limburg ten behoeve van natuurontwikkeling en natuurbehoud.,Via Cultuurfonds Limburg,Aankoop of omvorming van grond tot natuur,Niet gepubliceerd,Via Cultuurfonds Limburg,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Cultuurfonds Limburg,https://www.cultuurfonds.nl/fondsen/natuurlijk-limburg-fonds,NIEUW. Een van de weinige fondsen die expliciet GRONDAANKOOP financiert.
Goessche Diep Fonds (Cultuurfonds),Regionaal fonds op naam,Zeeland,"Cultuur- en natuurbehoud, met name vogelbescherming in brede zin.",Via Cultuurfonds Zeeland,Vogel- en natuurprojecten op een Zeeuws landgoed,Niet gepubliceerd,Via Cultuurfonds Zeeland,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Cultuurfonds Zeeland,https://www.cultuurfonds.nl/fondsen/goessche-diep-fonds,NIEUW. Zeeland was tot nu toe de dunst bedeelde provincie in dit overzicht — dit vult dat gat deels.
Themafonds Erfgoedvrijwilligers (Cultuurfonds),Landelijk themafonds (Cultuurfonds),Landelijk,Ondersteunt vrijwilligerswerk in de erfgoedsector.,Erfgoedorganisaties met vrijwilligers,"Vrijwilligersorganisatie rond het landgoed: werving, opleiding, waardering",Niet gepubliceerd,Via aanvragen.cultuurfonds.nl,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Cultuurfonds,https://www.cultuurfonds.nl/fondsen/themafonds-erfgoedvrijwilligers,NIEUW. Relevant als het landgoed met vrijwilligers werkt.
Buurtnatuur- en Buurtwaterfonds Noord-Brabant (Cultuurfonds),Regionaal fonds op naam,Noord-Brabant,Buurtparticipatie bij natuur- en waterprojecten en klimaatbestendigheid.,Organisaties met bewonersparticipatie,Waterretentie of klimaatadaptatie samen met omwonenden,"60% van de kosten, maximaal EUR 10.000; jaarbudget EUR 250.000","Rondes 2026: 2 februari, 1 mei, 31 juli, 2 november",Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Cultuurfonds Noord-Brabant,https://www.cultuurfonds.nl/fondsen/buurtnatuur-en-buurtwaterfonds-noord-brabant,NIEUW. Vraagt een expliciete buurt-/participatiecomponent.
Stichting Volkskracht Historische Monumenten,Regionaal vermogensfonds,Rotterdam en agglomeratie,"Aankoop, restauratie en instandhouding van monumenten onder de Erfgoedwet. Openstelling voor publiek is een vereiste.",Monumenteigenaren in de regio Rotterdam,Restauratie mits het monument wordt opengesteld,Niet gepubliceerd,Via Volkskracht,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,https://www.volkskracht.nl/,https://www.skbl.nl/erfgoedfondsen/,NIEUW. Zusterstichting van Volkskracht Natuurmonumenten dat al in de lijst stond.
K.F. Hein Fonds Monumenten,Regionaal vermogensfonds,Provincie Utrecht,"Koopt, restaureert en verhuurt monumenten aan instellingen. Aparte entiteit naast het K.F. Hein Fonds.",Monumenten in de provincie Utrecht,Restauratie of herbestemming van een Utrechts monument,Niet gepubliceerd,Via K.F. Hein,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,"hein@kfhein.nl, 030 - 232 21 14",https://www.skbl.nl/erfgoedfondsen/,NIEUW. Let op: dit is een ANDERE entiteit dan het K.F. Hein Fonds dat al in de lijst staat.
Stichting TBI Fundatie,Landelijk vermogensfonds,Landelijk,Restauratie van bijzondere en uitzonderlijke rijksmonumenten.,Eigenaren van bijzondere rijksmonumenten,Grote restauratie van het hoofdhuis,Niet gepubliceerd,Via info@stichtingtbifundatie.nl,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,info@stichtingtbifundatie.nl,https://www.stichtingtbifundatie.nl/,NIEUW. Gericht op de zwaardere restauratieopgaven.
Fonds TBI Klimaattrein,Landelijk themafonds,Landelijk,CO2-reductie via herbestemming en verduurzaming van erfgoed.,Erfgoedeigenaren,Verduurzaming van monumentaal vastgoed op het landgoed,"30-50% van de kosten, maximaal EUR 50.000",Zie tbi-klimaattrein.nl,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Via tbi-klimaattrein.nl,https://www.tbi-klimaattrein.nl/,NIEUW. Vult het gat 'verduurzaming monument' dat in dit overzicht nog ontbrak.
Stichting Zadelhoff Cultuur Fonds,Landelijk vermogensfonds,Landelijk,Behoud van karakteristieke en bijzondere gebouwen; ook ouderenzorg.,Niet van toepassing — geen open loket,Grote restauratie,Niet gepubliceerd,NIET AANVRAAGBAAR — uitsluitend op uitnodiging,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://www.zadelhoffcultuurfonds.nl/,"NIEUW maar NIET AANVRAAGBAAR (invitation only). Opgenomen als watchlist-regel, net als Adessium en Fred Foundation."
Kuijper van Harpen Fonds (Ars Donandi),Landelijk vermogensfonds / fonds op naam,Landelijk,Ondersteunt PARTICULIERE EIGENAREN van GEMEENTELIJKE monumenten — een categorie die bij de meeste erfgoedfondsen juist buiten de boot valt.,Particuliere eigenaren van gemeentelijke monumenten,"Restauratie van gemeentelijke monumenten op het landgoed (bijgebouwen, tuinmanswoning, koetshuis)",Niet gepubliceerd,Via het centrale loket van Ars Donandi,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,"info@arsdonandi.nl, +31 20 527 6416",https://www.arsdonandi.nl/de-fondsen/,"NIEUW en nuttig: rijksmonumenten hebben veel loketten, gemeentelijke monumenten weinig. Dit fonds richt zich juist daarop, en op particulieren."
Nederlandse Kastelenstichting - Publicatiefonds (deadlines),Landelijk themafonds,Landelijk,"Instandhouding en kennisverspreiding over kastelen en buitenplaatsen: tentoonstellingen, educatie, congressen, publicaties.",Erfgoedorganisaties en eigenaren,"Kennis-, publicatie- of educatieproject rond het landgoed",Erfenis met een looptijd van 20 jaar vanaf 2022; bedragen niet gepubliceerd,"DEADLINES 1 SEPTEMBER en 1 APRIL, via info@kastelen.nl",Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,info@kastelen.nl,https://www.kastelen.nl/,AANVULLING op de bestaande rij: de deadlines (1 sept / 1 apr) waren nog niet vastgelegd.
Stichting Huis te Warmond,Regionaal vermogensfonds,Zuid-Holland,Buitenplaatsgebonden fonds dat monumentenrestauratie financiert.,Niet gepubliceerd,Restauratie van gebouwd erfgoed,Niet gepubliceerd,Niet gepubliceerd,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://www.hendrickdekeyser.nl/fondsen,"NIEUW, gevonden via de financierslijst van Vereniging Hendrick de Keyser. Details navragen."
Stichting Vrienden van Beeckestijn,Regionaal fonds op naam,Noord-Holland (buitenplaats Beeckestijn),Steunfonds voor buitenplaats Beeckestijn; financiert monumentenrestauratie.,Niet gepubliceerd,Vooral gebonden aan Beeckestijn zelf; mogelijk breder,Niet gepubliceerd,Niet gepubliceerd,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://www.hendrickdekeyser.nl/fondsen,NIEUW. Waarschijnlijk sterk objectgebonden — verifieren voordat je aanklopt.
Bouwman Boerema Fonds,Regionaal vermogensfonds,Groningen,Financierde de restauratie van de rijksmonumentale boerderij Euvelgunnerheem.,Niet gepubliceerd,Restauratie van monumentale boerderijen en bijgebouwen,Niet gepubliceerd,Niet gepubliceerd,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://www.groningerlandschap.nl/projecten/euvelgunnerheem/,"NIEUW, gevonden via funder-mining op een concrete restauratie. Doelstelling nog niet primair geverifieerd."
